University,City,Cost,Subjects,Country,IELTS Score
Princeton,Palo Alto,12210,"Mathematics, Robotics, Physics, AI",USA,6.0
Western University,Ottawa,17416,"Biology, Economics, Engineering",Canada,6.0
University of Technology Sydney,Adelaide,18709,"AI, Robotics, Law",Australia,6.5
University of Glasgow,Glasgow,13869,"Physics, Business",UK,7.5
University of Toronto,Winnipeg,15457,"Law, Economics, Biology",Canada,6.0
UNSW,Hobart,10691,"Physics, Business",Australia,6.0
Stanford,San Francisco,12051,"Computer Science, Economics, Biology",USA,8.0
University of Waterloo,Vancouver,19998,"Biology, Mathematics",Canada,6.5
University of Ottawa,Victoria,17443,"Economics, Robotics, Biology, Mathematics",Canada,7.5
McGill University,Montreal,11988,"Biology, Business, Engineering, Computer Science",Canada,7.0
Western University,Vancouver,14709,"Mathematics, Physics, Economics, Robotics",Canada,7.5
Harvard,San Francisco,14929,"Biology, Economics, Business, Physics",USA,6.0
Monash University,Melbourne,13458,"Physics, Engineering",Australia,6.0
University of Technology Sydney,Hobart,17498,"Law, Business",Australia,7.5
Stanford,Los Angeles,13447,"Business, Mathematics",USA,7.5
University of Melbourne,Darwin,10007,"Robotics, Mathematics, AI, Business",Australia,7.0
University of Queensland,Canberra,18096,"Physics, Computer Science",Australia,6.0
University of Alberta,Calgary,11845,"Physics, Economics, Engineering",Canada,7.5
University of Bristol,Bristol,11881,"Economics, Mathematics, AI, Physics",UK,7.5
Queen's University,Toronto,15379,"Computer Science, Business",Canada,6.5
University of Western Australia,Perth,11686,"Mathematics, AI, Economics, Physics",Australia,6.0
University of Bristol,Cambridge,15814,"AI, Mathematics, Law, Business",UK,6.0
McMaster University,Victoria,19092,"Computer Science, Law, Engineering, Biology",Canada,6.5
Queen's University,Quebec City,10824,"Robotics, Engineering, Computer Science",Canada,6.0
Columbia,Princeton,13763,"Engineering, Physics, Mathematics, AI",USA,6.0
University of Manchester,Liverpool,14069,"Economics, Robotics",UK,8.0
Imperial College London,Liverpool,17423,"Law, Engineering",UK,7.0
RMIT University,Sydney,11803,"Law, AI, Engineering",Australia,6.5
University of Queensland,Adelaide,13531,"Physics, Mathematics, Engineering",Australia,8.0
LSE,Cambridge,19481,"Engineering, Business",UK,6.5
Harvard,Philadelphia,18777,"Economics, Physics, Law, Engineering",USA,8.0
University of Bristol,Cambridge,12167,"Biology, AI, Economics",UK,8.0
Duke,Los Angeles,18216,"Engineering, Robotics",USA,7.5
University of Waterloo,Victoria,14900,"Mathematics, Economics",Canada,6.5
Harvard,Durham,11757,"Economics, Mathematics, Business",USA,6.0
McMaster University,Edmonton,19296,"Computer Science, AI, Robotics",Canada,7.5
Duke,Boston,11376,"Economics, Mathematics",USA,6.0
UNSW,Perth,17214,"Biology, Law, Physics",Australia,6.5
UBC,Halifax,19974,"Mathematics, Law",Canada,6.0
McMaster University,Vancouver,17569,"Robotics, Business, Computer Science, AI",Canada,6.5
University of Edinburgh,Durham,16172,"Law, AI, Physics, Business",UK,7.5
University of Waterloo,Montreal,17585,"Law, Computer Science, Economics, Mathematics",Canada,7.5
Caltech,Durham,19489,"Law, Engineering, Business, Mathematics",USA,6.0
University of Toronto,Vancouver,11100,"Economics, Business, Robotics, Mathematics",Canada,7.5
Queen's University,Ottawa,14897,"Law, AI, Biology",Canada,6.0
ANU,Brisbane,11097,"Robotics, Economics, Biology",Australia,8.0
York University,Quebec City,15817,"Physics, Biology, Economics",Canada,6.0
Queen's University,Ottawa,16174,"AI, Law, Business, Engineering",Canada,6.5
Monash University,Darwin,12278,"Biology, Business, AI, Law",Australia,7.5
University of Chicago,Boston,17460,"Computer Science, Law, Robotics",USA,7.5
ANU,Canberra,12932,"Law, Engineering, AI",Australia,7.5
Stanford,New York,17188,"Robotics, Physics",USA,6.0
University of Bristol,Bristol,14619,"Economics, Engineering",UK,6.5
University of Manchester,Leeds,11662,"Physics, Biology, Engineering, Law",UK,6.0
ANU,Sydney,13971,"Physics, Engineering",Australia,6.5
MIT,New York,15488,"Business, Engineering",USA,7.5
UPenn,Chicago,13388,"Physics, Robotics, Economics, Business",USA,6.5
Harvard,New York,12498,"Law, AI, Mathematics, Computer Science",USA,6.0
University of Technology Sydney,Gold Coast,18435,"AI, Biology, Computer Science",Australia,8.0
University of Adelaide,Brisbane,16947,"AI, Law",Australia,6.0
University of Toronto,Toronto,15279,"AI, Mathematics",Canada,7.0
Yale,Palo Alto,13120,"Economics, Engineering, Computer Science, Business",USA,6.5
Cambridge,Durham,15222,"Engineering, Economics, Business, Mathematics",UK,6.0
Stanford,New York,15270,"Engineering, Law",USA,7.5
Stanford,Princeton,17996,"Law, Engineering, Physics, Business",USA,8.0
University of Manchester,Durham,17023,"AI, Biology, Law",UK,7.5
University of Ottawa,Edmonton,19460,"Business, Biology",Canada,7.5
Stanford,Boston,19603,"Biology, AI, Economics",USA,7.0
Duke,Palo Alto,16264,"Computer Science, Mathematics",USA,6.5
York University,Ottawa,12715,"Computer Science, Mathematics, Robotics, Economics",Canada,7.5
Durham University,Edinburgh,10517,"Biology, Engineering",UK,8.0
Duke,San Francisco,13959,"Biology, Robotics, AI, Law",USA,6.0
University of Edinburgh,Edinburgh,18987,"Engineering, Law, Physics, Computer Science",UK,7.0
McGill University,Winnipeg,19168,"Computer Science, Biology, Physics, Law",Canada,6.0
University of Edinburgh,Durham,16713,"Business, AI",UK,8.0
York University,Ottawa,10931,"Biology, Law, Mathematics",Canada,6.0
University of Adelaide,Darwin,12228,"Robotics, Engineering",Australia,8.0
Cambridge,Leeds,11312,"Biology, Engineering",UK,7.0
King's College London,Glasgow,13746,"Robotics, Engineering, Law",UK,7.5
University of Alberta,Ottawa,12672,"Computer Science, Engineering, Mathematics",Canada,6.0
Cambridge,Glasgow,17976,"Mathematics, AI, Robotics",UK,6.5
Harvard,Chicago,13129,"Biology, AI, Economics",USA,6.5
University of Edinburgh,Manchester,18064,"Mathematics, Physics, Biology",UK,6.0
UBC,Edmonton,17838,"Biology, Physics, Engineering",Canada,8.0
UBC,Quebec City,10150,"Mathematics, Robotics",Canada,7.5
University of Western Australia,Sydney,17830,"Mathematics, AI, Law",Australia,7.0
University of Waterloo,Quebec City,13416,"Engineering, Computer Science, Economics, Biology",Canada,7.5
UBC,Winnipeg,19969,"Computer Science, Biology, Engineering, Robotics",Canada,7.5
Cambridge,Durham,12517,"Physics, AI, Mathematics, Economics",UK,7.5
University of Adelaide,Adelaide,13128,"Economics, Physics, Computer Science",Australia,8.0
Imperial College London,Durham,10331,"Physics, Business, Economics",UK,6.0
Cambridge,London,16480,"Mathematics, Engineering",UK,6.0
MIT,Durham,10409,"Physics, Law",USA,8.0
University of Western Australia,Brisbane,16284,"Physics, Business, Engineering, Economics",Australia,6.0
Columbia,Durham,19697,"Biology, Physics, Robotics",USA,8.0
Monash University,Perth,13940,"AI, Mathematics",Australia,8.0
RMIT University,Wollongong,12935,"Economics, Law, Biology",Australia,8.0
Western University,Toronto,10767,"Economics, Computer Science",Canada,7.5
King's College London,Glasgow,14935,"Law, Robotics",UK,6.0
University of Edinburgh,Durham,15866,"Computer Science, Biology",UK,7.0
University of Edinburgh,Bristol,15082,"Biology, Law",UK,8.0
University of Chicago,Princeton,10159,"Economics, Biology, Robotics, Law",USA,7.5
UPenn,Princeton,13307,"Physics, Economics",USA,8.0
Duke,Philadelphia,18194,"Business, AI, Engineering, Biology",USA,7.5
University of Ottawa,Quebec City,10953,"Law, Robotics, Computer Science",Canada,6.5
Durham University,Leeds,19185,"AI, Robotics",UK,6.5
Duke,Palo Alto,13146,"Economics, Business, Computer Science",USA,6.0
University of Technology Sydney,Sydney,11367,"Law, Business",Australia,6.5
Duke,Boston,15208,"Business, Physics",USA,7.0
University of Waterloo,Victoria,14328,"Economics, Computer Science, Physics",Canada,8.0
MIT,Durham,12264,"Biology, Business, Physics, Mathematics",USA,6.5
University of Technology Sydney,Brisbane,14623,"Computer Science, Physics",Australia,7.0
University of Waterloo,Toronto,17194,"Mathematics, AI, Law, Engineering",Canada,8.0
University of Technology Sydney,Gold Coast,18449,"AI, Law",Australia,7.0
Monash University,Canberra,18225,"Biology, Economics, Robotics, Computer Science",Australia,6.0
UBC,Vancouver,19546,"Biology, Business, Engineering",Canada,7.5
McMaster University,Toronto,13514,"Robotics, Law",Canada,8.0
Western University,Edmonton,13147,"Law, Physics, Biology",Canada,7.0
ANU,Darwin,15732,"Economics, AI, Law, Physics",Australia,8.0
University of Western Australia,Hobart,11919,"Business, Law, AI, Engineering",Australia,6.0
LSE,Bristol,17070,"Engineering, Mathematics",UK,6.5
Cambridge,Glasgow,11197,"Biology, Business, Computer Science, Physics",UK,7.0
UBC,Toronto,17629,"Robotics, Mathematics",Canada,8.0
Stanford,Boston,13037,"Robotics, Computer Science",USA,7.5
Yale,Cambridge,10396,"Law, Computer Science",USA,6.0
University of Melbourne,Adelaide,16122,"Robotics, AI",Australia,8.0
McMaster University,Montreal,19609,"Biology, Business, Robotics",Canada,8.0
UBC,Vancouver,16937,"Business, Engineering, Law",Canada,7.5
University of Ottawa,Vancouver,18595,"Computer Science, AI, Business",Canada,7.5
Harvard,Cambridge,12336,"Economics, Business, Physics",USA,8.0
Western University,Quebec City,11919,"Computer Science, Physics, Engineering",Canada,6.5
Columbia,San Francisco,15880,"Robotics, Physics",USA,7.5
Cambridge,Edinburgh,16939,"Computer Science, Physics, Mathematics",UK,8.0
Western University,Quebec City,10879,"Economics, Robotics, Computer Science, Business",Canada,7.0
King's College London,Oxford,15809,"Robotics, Law",UK,7.5
Western University,Quebec City,11207,"Biology, Robotics, AI, Law",Canada,6.0
Queen's University,Vancouver,17565,"Biology, AI",Canada,7.5
Monash University,Wollongong,17283,"Law, Engineering",Australia,8.0
Western University,Halifax,13778,"Business, Computer Science, Economics",Canada,6.0
Western University,Toronto,17226,"Business, Robotics, AI",Canada,7.0
ANU,Wollongong,18565,"Robotics, Biology, Law, Economics",Australia,7.5
Yale,Philadelphia,19850,"Law, Physics",USA,7.0
Harvard,New York,11766,"Mathematics, AI, Robotics, Biology",USA,7.5
Cambridge,London,18966,"Physics, Robotics, Economics, Mathematics",UK,8.0
MIT,San Francisco,14436,"Biology, Robotics",USA,7.5
Queen's University,Victoria,10272,"Computer Science, Mathematics",Canada,7.0
University of Adelaide,Gold Coast,17916,"Mathematics, Business, AI, Physics",Australia,8.0
University of Melbourne,Darwin,19435,"Business, Engineering, Mathematics, AI",Australia,7.0
York University,Winnipeg,15327,"Engineering, Physics, Business, Robotics",Canada,8.0
University of Toronto,Victoria,12964,"Biology, Business, Physics, Mathematics",Canada,7.0
Harvard,Philadelphia,10200,"Mathematics, Physics, Biology, Business",USA,7.5
University of Western Australia,Wollongong,13478,"Mathematics, Physics, Computer Science, Biology",Australia,6.5
Western University,Quebec City,18497,"Business, Biology, Engineering, Law",Canada,6.0
University of Alberta,Ottawa,13815,"Robotics, AI",Canada,6.0
Queen's University,Halifax,14928,"Robotics, Mathematics, Business",Canada,6.0
Durham University,London,12320,"Business, Computer Science",UK,6.5
Western University,Toronto,16586,"Physics, AI",Canada,7.5
Western University,Quebec City,11255,"Law, Economics",Canada,7.0
McMaster University,Calgary,10573,"Economics, Robotics",Canada,7.5
University of Ottawa,Calgary,13671,"Physics, AI",Canada,8.0
University of Toronto,Winnipeg,10622,"Biology, AI",Canada,6.5
University of Chicago,Chicago,10354,"Law, Biology, Economics, Mathematics",USA,7.5
LSE,Cambridge,13893,"Economics, Computer Science, AI",UK,7.0
University of Technology Sydney,Adelaide,16722,"Computer Science, Biology, Engineering, Mathematics",Australia,7.0
UBC,Toronto,13161,"AI, Mathematics, Engineering",Canada,7.0
University of Ottawa,Vancouver,12526,"Engineering, Computer Science",Canada,8.0
RMIT University,Sydney,19213,"Robotics, Computer Science, Law",Australia,6.5
University of Chicago,Palo Alto,16312,"Mathematics, Physics",USA,6.5
University of Western Australia,Brisbane,10344,"AI, Engineering",Australia,6.0
University of Glasgow,London,16886,"Computer Science, Business, Law, Engineering",UK,8.0
Monash University,Gold Coast,14892,"Mathematics, Business, Computer Science, Law",Australia,7.5
Cambridge,Bristol,10523,"AI, Computer Science, Economics, Business",UK,7.0
Princeton,Palo Alto,19033,"Physics, Biology, Economics, Business",USA,6.5
University of Bristol,London,15545,"Robotics, Biology, Law",UK,6.0
McGill University,Victoria,13967,"Business, Biology, Law, Economics",Canada,6.0
University of Technology Sydney,Melbourne,18046,"Computer Science, Economics, Mathematics",Australia,6.5
University of Alberta,Vancouver,16959,"AI, Biology, Computer Science, Physics",Canada,6.0
University of Adelaide,Wollongong,13633,"Physics, Engineering, Robotics",Australia,7.0
Monash University,Sydney,13507,"AI, Biology, Law",Australia,7.5
University of Queensland,Darwin,10270,"Mathematics, Computer Science, Economics",Australia,8.0
University of Ottawa,Winnipeg,10131,"Business, AI",Canada,7.0
York University,Montreal,15509,"Physics, Engineering, Robotics, Law",Canada,8.0
Princeton,Chicago,14667,"Robotics, Physics, Business, Engineering",USA,7.0
Yale,New York,13428,"Mathematics, Robotics",USA,6.5
Stanford,Boston,12225,"Robotics, Computer Science, AI, Engineering",USA,8.0
Harvard,Cambridge,18244,"Physics, Robotics, Law, Business",USA,6.0
University of Sydney,Wollongong,14383,"Mathematics, Engineering, Biology",Australia,8.0
McMaster University,Victoria,14261,"AI, Business, Computer Science, Economics",Canada,8.0
University of Technology Sydney,Melbourne,16539,"Computer Science, Business, Robotics, Mathematics",Australia,7.5
McGill University,Ottawa,11677,"Robotics, AI, Biology, Engineering",Canada,6.5
University of Adelaide,Sydney,13253,"Physics, Law, AI, Biology",Australia,8.0
University of Bristol,Manchester,14063,"Engineering, Robotics",UK,7.0
York University,Quebec City,10268,"Mathematics, Biology, Engineering",Canada,7.0
University of Bristol,Leeds,17127,"Physics, Engineering",UK,8.0
University of Sydney,Hobart,14621,"Mathematics, Robotics",Australia,7.0
University of Melbourne,Darwin,13995,"Physics, Mathematics",Australia,8.0
University of Chicago,New York,16241,"Computer Science, Law, Physics",USA,6.5
Monash University,Wollongong,19988,"Computer Science, Physics, Biology",Australia,7.5
University of Toronto,Calgary,14322,"Computer Science, Economics, Mathematics",Canada,6.0
University of Ottawa,Winnipeg,15793,"Mathematics, Economics, Computer Science, Robotics",Canada,6.0
University of Technology Sydney,Perth,11606,"Law, Economics",Australia,7.5
University of Manchester,Bristol,10935,"Physics, Law",UK,6.5
University of Chicago,Princeton,12515,"Engineering, Law, Physics, Economics",USA,7.5
York University,Winnipeg,18863,"Biology, Mathematics",Canada,6.0
University of Western Australia,Sydney,11055,"Economics, Robotics, Business, AI",Australia,6.0
King's College London,London,15188,"Law, Economics, Physics, Robotics",UK,8.0
York University,Toronto,16678,"Physics, Robotics, Engineering, Economics",Canada,8.0
University of Glasgow,Liverpool,13618,"Business, Physics, AI, Engineering",UK,8.0
University of Ottawa,Halifax,14925,"AI, Biology, Law",Canada,7.0
McGill University,Victoria,16760,"Biology, Robotics",Canada,7.5
University of Waterloo,Calgary,12623,"Robotics, Physics, Economics, AI",Canada,6.5
Duke,Philadelphia,11611,"Robotics, Physics, Economics",USA,8.0
University of Edinburgh,Edinburgh,13872,"Physics, AI, Law",UK,7.0
LSE,Edinburgh,13462,"Biology, Engineering, Physics, Robotics",UK,7.0
University of Edinburgh,Cambridge,11951,"Robotics, Physics, AI",UK,7.5
Monash University,Hobart,15443,"Biology, Mathematics, Engineering, Physics",Australia,6.0
King's College London,London,11751,"Robotics, Business, AI",UK,8.0
UPenn,Palo Alto,17231,"Business, Law",USA,6.5
Imperial College London,Cambridge,14597,"Economics, Mathematics, Biology",UK,6.0
York University,Montreal,17962,"Business, Engineering, Robotics, Computer Science",Canada,6.5
Oxford,Oxford,11284,"Computer Science, Law",UK,7.0
RMIT University,Melbourne,13372,"Economics, Business",Australia,7.0
University of Glasgow,Oxford,18833,"Business, Biology, Robotics",UK,6.0
Harvard,Chicago,19241,"Robotics, Biology",USA,7.0
University of Alberta,Montreal,13599,"Law, AI, Computer Science, Engineering",Canada,6.0
RMIT University,Melbourne,11525,"Robotics, Business",Australia,6.5
Princeton,Philadelphia,12318,"Engineering, Physics, Law",USA,6.0
University of Sydney,Sydney,11557,"Physics, Biology",Australia,6.0
Columbia,Philadelphia,18184,"Economics, AI, Biology",USA,6.0
UBC,Vancouver,11099,"Physics, Mathematics, AI",Canada,7.5
King's College London,Cambridge,13967,"Engineering, Computer Science",UK,8.0
LSE,Manchester,10740,"Biology, Robotics, Mathematics",UK,8.0
University of Ottawa,Halifax,16321,"Biology, Physics, Engineering, AI",Canada,6.5
ANU,Wollongong,10609,"AI, Physics",Australia,8.0
LSE,Liverpool,17043,"Law, Engineering, Physics",UK,8.0
MIT,Boston,16096,"Law, Robotics, Physics",USA,8.0
RMIT University,Wollongong,10619,"Mathematics, Computer Science, Biology, Engineering",Australia,6.0
University of Chicago,Durham,13097,"AI, Computer Science",USA,6.0
MIT,Los Angeles,19479,"Robotics, Business",USA,7.0
University of Waterloo,Montreal,10930,"Law, Computer Science, AI",Canada,6.0
King's College London,Durham,18945,"Biology, Robotics",UK,6.0
Cambridge,Liverpool,15965,"Engineering, Physics, Computer Science",UK,7.0
Princeton,Palo Alto,17489,"Engineering, Computer Science, Business",USA,7.5
UNSW,Brisbane,15928,"AI, Computer Science, Physics",Australia,7.5
Oxford,Oxford,16561,"Engineering, Computer Science, Law",UK,7.0
King's College London,London,14804,"AI, Biology, Economics, Physics",UK,6.0
Durham University,Liverpool,18332,"Biology, Physics, Robotics, Business",UK,6.0
UPenn,Cambridge,10608,"Biology, Computer Science",USA,7.0
University of Western Australia,Adelaide,15808,"Computer Science, Mathematics, AI, Robotics",Australia,6.5
ANU,Brisbane,17220,"Business, Mathematics, Law, AI",Australia,7.5
University of Glasgow,Leeds,10285,"Physics, Economics, Biology, Engineering",UK,6.0
Oxford,Manchester,15929,"Computer Science, Biology, Economics, Mathematics",UK,6.0
Oxford,London,13227,"Biology, Robotics, Engineering",UK,6.0
Duke,Princeton,17696,"Mathematics, Physics, AI",USA,8.0
McMaster University,Winnipeg,18850,"Computer Science, Engineering, Biology",Canada,7.0
King's College London,Durham,18666,"Mathematics, AI",UK,6.5
King's College London,London,12807,"Mathematics, Biology, AI",UK,8.0
University of Alberta,Halifax,19760,"Mathematics, Computer Science, Robotics, Engineering",Canada,8.0
Oxford,Oxford,18203,"Biology, Law, Robotics, Business",UK,7.5
Monash University,Melbourne,10555,"Biology, Physics, Law",Australia,8.0
Columbia,Chicago,12371,"Physics, Computer Science, Law, Economics",USA,6.5
University of Ottawa,Victoria,18725,"Robotics, Engineering",Canada,7.5
University of Manchester,Durham,12435,"Robotics, Engineering, Economics, Physics",UK,6.0
University of Toronto,Quebec City,15570,"Physics, Biology, AI",Canada,7.0
Duke,Princeton,18621,"Computer Science, Mathematics",USA,7.5
Harvard,Princeton,10578,"Biology, Mathematics",USA,6.5
Harvard,New York,16910,"Business, Biology",USA,8.0
University of Glasgow,Manchester,10863,"Engineering, Biology",UK,7.5
University of Waterloo,Halifax,11034,"Business, AI, Physics",Canada,8.0
University of Alberta,Vancouver,18140,"Mathematics, Biology, Physics, Robotics",Canada,6.5
University of Adelaide,Perth,14432,"Physics, Economics, Law, Business",Australia,8.0
University of Alberta,Victoria,13973,"Physics, Engineering, Mathematics",Canada,6.5
University of Toronto,Edmonton,16611,"Robotics, Business, Computer Science",Canada,8.0
UNSW,Gold Coast,19219,"Biology, Robotics, Business, Mathematics",Australia,8.0
University of Edinburgh,Bristol,11620,"Law, Biology, Robotics, Business",UK,6.0
University of Adelaide,Darwin,15978,"AI, Mathematics, Robotics, Computer Science",Australia,7.5
Princeton,Durham,17449,"Law, Mathematics, Economics",USA,6.0
UPenn,Chicago,15506,"AI, Economics, Biology",USA,8.0
Harvard,Durham,19549,"Physics, Business",USA,6.5
Oxford,Liverpool,10416,"AI, Robotics, Engineering, Business",UK,7.0
University of Manchester,Bristol,16241,"Biology, Mathematics",UK,6.5
Queen's University,Quebec City,19141,"Law, Business, Economics, AI",Canada,7.5
McGill University,Edmonton,13885,"Biology, Business",Canada,8.0
Queen's University,Vancouver,15606,"AI, Mathematics, Law",Canada,6.5
University of Glasgow,Liverpool,19315,"Business, Engineering, AI, Law",UK,6.5
Caltech,Los Angeles,17222,"Engineering, Business",USA,7.5
University of Western Australia,Hobart,15227,"Engineering, Law, Computer Science",Australia,6.0
UBC,Quebec City,14654,"AI, Physics, Law, Mathematics",Canada,7.5
UNSW,Darwin,10771,"Computer Science, Engineering",Australia,6.5
Oxford,Leeds,13110,"Computer Science, Physics, AI",UK,8.0
University of Technology Sydney,Canberra,16795,"Mathematics, Biology",Australia,7.0
Princeton,Los Angeles,12604,"Computer Science, Physics, Mathematics, Economics",USA,6.5
Caltech,San Francisco,16755,"Engineering, Robotics",USA,7.0
MIT,Princeton,13015,"Mathematics, Physics, Economics",USA,8.0
University of Bristol,Cambridge,15402,"Mathematics, Biology, AI",UK,6.5
Princeton,Philadelphia,15062,"AI, Engineering, Biology, Physics",USA,6.0
Oxford,Leeds,15495,"Law, Engineering",UK,6.5
ANU,Darwin,19496,"AI, Mathematics",Australia,7.0
University of Alberta,Ottawa,18471,"Business, Biology",Canada,6.0
Western University,Halifax,16863,"Mathematics, Robotics, AI",Canada,6.0
University of Queensland,Gold Coast,15381,"Economics, Biology",Australia,6.0
University of Sydney,Canberra,14488,"Law, Mathematics",Australia,6.5
University of Manchester,Manchester,14181,"AI, Law, Business",UK,6.0
University of Chicago,Philadelphia,17034,"Business, Robotics, Computer Science, Law",USA,6.5
University of Adelaide,Adelaide,13773,"Physics, Computer Science, Business, Robotics",Australia,6.0
Stanford,New York,14748,"Physics, Engineering, Computer Science, AI",USA,6.0
University of Sydney,Darwin,15713,"AI, Physics, Economics, Biology",Australia,7.5
University of Adelaide,Gold Coast,14249,"AI, Biology, Robotics, Economics",Australia,6.0
University of Ottawa,Vancouver,10331,"Mathematics, Biology",Canada,8.0
University of Bristol,Leeds,18447,"Law, Business, Biology, Robotics",UK,7.5
RMIT University,Gold Coast,16875,"Biology, Business",Australia,7.5
University of Melbourne,Darwin,12992,"Robotics, AI, Business, Biology",Australia,7.0
University of Sydney,Perth,15253,"Engineering, Mathematics, Biology, Physics",Australia,7.5
University of Alberta,Halifax,10998,"Law, Engineering, Business",Canada,6.5
Oxford,Leeds,14793,"Law, Biology",UK,6.0
Duke,Palo Alto,19521,"Engineering, Mathematics",USA,7.0
University of Adelaide,Adelaide,10142,"Biology, Physics",Australia,8.0
RMIT University,Melbourne,12083,"AI, Engineering",Australia,8.0
University of Sydney,Wollongong,19588,"Mathematics, Biology",Australia,7.0
LSE,London,17449,"Business, Computer Science, Mathematics, Engineering",UK,8.0
University of Adelaide,Adelaide,15675,"Robotics, Computer Science, Business, Economics",Australia,7.5
McMaster University,Edmonton,19642,"Mathematics, Robotics, Economics",Canada,7.0
ANU,Wollongong,10359,"Robotics, Computer Science, Biology",Australia,8.0
